Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Jose Hernandez","PIT",1,1,1,6,0,4.2,7.714288341756665,5.785716256317499,0,0.2857142857142857,0.85714286,0.214285714,0,93.48494466145833,1.9285720854391661,5.7,3.3407615505919415,5.4488704277641995,0.059403520077466965,"Jose Hernandez",22318,669796
"Blake Snell","SFG",0,3,0,3,3,11.2,9.257143361617135,3.857143067340473,1.5428572269361893,0.41025641025641024,0.3960396,0.5,0.181818181,95.94280510979729,11.571429202021418,4.09,4.583618699871768,3.680143779247789,0.05915980786085129,"Blake Snell",13543,605483
"Sam Moll","CIN",0,0,0,6,0,5.1,8.43750050291422,3.375000201165688,0,0.3076923076923077,0.71428571,0.461538461,0,93.18534712357955,3.375000201165688,2.47,2.9389757521450512,4.520056965750825,0.05792968347668648,"Sam Moll",14874,594580
"Miguel Castro","ARI",0,0,0,8,0,8.2,6.230771059115794,1.0384618431859656,1.0384618431859656,0.3548387096774194,0.68965517,0.419354838,0.1,,5.1923092159298285,4.41,3.5880143602924632,3.7096360568691162,0.05784788727760315,"Miguel Castro",15684,612434
"Bryse Wilson","MIL",2,1,0,11,5,34,7.411765121671179,3.970588458038131,1.3235294860127105,0.20689655172413793,0.90909091,0.391304347,0.119047619,94.20993041992188,2.647058972025421,4.84,4.891181744671203,4.715506101178722,0.055471740663051605,"Bryse Wilson",19990,669060
"Tommy Henry","ARI",1,2,0,6,6,28.1,7.623529753899507,3.4941178038706076,1.2705882923165845,0.34831460674157305,0.70754717,0.473118279,0.133333333,90.67283904246794,5.4000002423454845,5.63,4.644122890254621,4.296905104663427,0.05035434663295746,"Tommy Henry",26285,674072
"Nabil Crismatt","LAD",1,1,0,5,0,7,7.714285714285714,0,1.2857142857142858,0.3157894736842105,0.71428571,0.45,0.166666666,90.9429867393092,2.5714285714285716,5.38,3.269332906178066,2.616823282837868,0.049541547894477844,"Nabil Crismatt",17732,622503
"Jordan Weems","WSN",1,1,0,19,0,16,7.875001408159985,5.062500905245704,0.562500100582856,0.2727272727272727,0.53398058,0.4,0.055555555,96.04969200721153,3.9375007040799925,3.29,3.8764758974313978,4.645057154230426,0.0492548830807209,"Jordan Weems",13190,607179
"Yuki Matsui","SDP",2,0,0,21,0,19.1,6.982761146623434,5.586208917298747,0.46551740977489564,0.24528301886792453,0.69105691,0.5,0.058823529,92.33620557598039,3.724139278199165,3.93,4.109234739512369,4.672608691776406,0.048789724707603455,"Yuki Matsui",33826,673513
"Yohan Ramírez","NYM",0,1,0,5,0,8.1,11.880000453186053,4.320000164794928,1.080000041198732,0.4,0.58823529,0.4,0.142857142,95.2697265625,7.560000288391124,3.77,3.4864757770538337,3.1070163317052106,0.04863088205456734,"Yohan Ramirez",19444,670990
