Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Jung Hoo Lee","SFG",37,158,2,15,8,2,0.063291139,0.082278481,0.068965517,0.272727272,0.262068965,0.310126582,0.331034482,0.2881432700006268,0.324,88.89034811321739,-0.05633718939498067,-2.083672487231158,0.007175803184509277,0.3336051625091421,"Jung Hoo Lee",33824,808982
"Donovan Solano","SDP",4,16,0,1,1,0,0.125,0.0625,0.076923077,0.5,0.461538461,0.5625,0.538461538,0.49089211225509644,0.444,228.04656097477033,-0.0642512938939035,2.3019732000084803,0.2653484158217907,0.324184774751497,"Donovan Solano",8623,456781
"Jarred Kelenic","ATL",33,100,2,10,7,0,0.06,0.35,0.106382979,0.385964912,0.255319148,0.3,0.361702127,0.29524856328964233,0.265,88.49149567344321,-0.10549646988511086,-1.4346860542429178,1.1117547750473022,0.31478506666955686,"Jarred Kelenic",22558,672284
"Joey Bart","PIT",17,57,3,5,8,0,0.140350877,0.315789473,0.229166667,0.296296296,0.229166666,0.350877192,0.458333333,0.3592234212055541,0.324,131.9496734869521,-0.1192953223362565,1.9840439170609128,-0.9196025729179382,0.30996119704274383,"Joey Bart",21524,663698
"Heliot Ramos","SFG",9,35,0,4,5,1,0.085714285,0.342857142,0.0625,0.45,0.28125,0.342857142,0.34375,0.3109292507171631,0.3,104.36261022263693,0.09001532662659883,0.2663681841657241,1.4389538168907166,0.30028561659223946,"Heliot Ramos",22515,671218
"Nick Gonzales","PIT",8,29,2,4,6,1,0.034482758,0.172413793,0.269230769,0.25,0.269230769,0.285714285,0.538461538,0.34749153895037516,0.336,123.98342619011116,0.2779923644848168,1.0812914398050424,0.8164232596755028,0.2994876653794055,"Nick Gonzales",27490,693304
"J.D. Martinez","NYM",20,74,2,5,7,0,0.067567567,0.27027027,0.147058823,0.413043478,0.308823529,0.356164383,0.455882352,0.35825163534242815,0.354,137.31215210683808,-0.948845012113452,2.2401222665097977,-1.9444444179534912,0.2888390469266671,"J.D. Martinez",6184,502110
"Brendan Donovan","STL",42,192,4,20,20,0,0.083333333,0.135416666,0.148809523,0.24822695,0.232142857,0.3125,0.38095238,0.30887882101039094,0.331,101.5396232896212,-0.9893691558390856,-0.6479532541654368,-3.190728187561035,0.2678725758553723,"Brendan Donovan",24679,680977
"Blake Sabol","SFG",11,38,0,3,1,0,0.131578947,0.236842105,0.0625,0.434782608,0.3125,0.421052631,0.375,0.35666797451070836,0.331,135.42037033785098,-0.026635221671313047,1.5279149332988575,-0.35902906581759453,0.25465690168027366,"Blake Sabol",25805,666165
"Eugenio Suárez","ARI",44,182,3,18,23,1,0.065934065,0.269230769,0.111111111,0.28318584,0.216049382,0.285714285,0.327160493,0.27615857910323927,0.288,76.72840114892665,0.2741513140499592,-4.617614460737476,0.9617730975151062,0.2521339652544111,"Eugenio Suarez",12552,553993
"Jackson Chourio","MIL",40,140,5,18,15,6,0.057142857,0.285714285,0.130769231,0.26744186,0.215384615,0.258992805,0.346153846,0.2685368914398358,0.272,71.55216478727444,1.5160733466036618,-3.0837939571811708,0.8075727224349976,0.24998504122780246,"Jackson Chourio",28806,694192
"Kody Clemens","PHI",9,22,2,4,7,0,0.045454545,0.272727272,0.428571428,0.23076923,0.238095238,0.272727272,0.666666666,0.39415948499332776,0.322,156.54928434866986,0.01193238701671362,1.448803580508998,0.19283442199230194,0.24831612632929362,"Kody Clemens",20572,665019
"Mike Yastrzemski","SFG",38,118,4,14,14,0,0.076271186,0.305084745,0.158878505,0.313432835,0.233644859,0.299145299,0.392523364,0.3041623543048727,0.282,99.76771495520327,-0.19088811054825783,-0.22254522314901892,-1.3415430299937725,0.24775899184202713,"Mike Yastrzemski",14854,573262
"Jake Fraley","CIN",33,105,1,17,7,7,0.085714285,0.228571428,0.07368421,0.366197183,0.284210526,0.342857142,0.357894736,0.31509349175861906,0.278,98.22514529432938,-0.36937266075983644,-0.5846112562944494,-0.5925528407096863,0.24290121984259497,"Jake Fraley",19260,641584
"Alexander Canario","CHC",13,25,1,4,2,1,0.08,0.44,0.181818182,0.5,0.272727272,0.36,0.454545454,0.36226328134536745,0.276,136.40034265527146,0.056160503532737494,1.1071866610498888,0.3068501353263855,0.23497653876756697,"Alexander Canario",22842,672744
